B550F;No equip     
B7A8F;Light key    
B7A9C;Sword key    
B7AA9;Tree key     
B7AB6;Flower key   
B7AC3;Magma key    
B7AD0;Heart key    
B7ADD;Ghost key    
B7AEA;Trial key    
B7AF7;Dankirk key  
B7B04;Basement key 
B7B11;Narcysus key 
B7B1E;Truth key    
B7B2B;Mermaid jade 
B7B38;Engine       
B7B45;Ancient key  
B7B52;Pretty flwr. 
B7B5F;Glass angel  
B7B6C;VIP card     
B7B79;Key26        
B7B86;Key27        
B7B93;Key28        
B7BA0;Key29        
B7BAD;Key30        
B7BBA;Crown        
B7BC7;Ruby apple   
B7BD4;PURIFIA      
B7BE1;Tag ring     
B7BEE;Tag ring     
B7BFB;RAN-RAN step 
B7CBD;Tag candy    
B7CCE;Last
